,Emp34Id,EmpLastName,EmpFirstName,EmpLocationDesc,facility_city,facility_state,facility_zip,EmpDepartment,EmpDepartmentName,EmpPositionDesc,MgrTitle,Mgr34Id,EmpRNExperienceDate,latitude,longitude
53,adc7440d-2ba3-4928-bbce-2b09b789b199,Dicki,Jovan,Ogden Regional Medical Center,Ogden,UT,84405.0,90217,Accounting,Asst Controller,CFO,2f202b63-b147-4dba-91db-e0bc3ffed8a0,,41.1739,-111.9809
107,c5af6669-b8ab-491e-8989-a07fa343b081,Littel,Sion,Ogden Regional Medical Center,Ogden,UT,84405.0,78117,Trauma Services,Mkt Dir EMS/Emergency Prep,COO,8e7be561-8cab-41ea-af27-9ea2abe23b86,,41.1739,-111.9809
121,f24c274b-abd2-4238-b482-4868ddb759c7,Flatley,Dezare,Timpanogos Regional Medical Ct,Orem,UT,84059.0,65018,ICU/CCU,Dir Critical Care,CNO,b688b7ff-1eef-4e8f-a2ea-7f9df3dd465a,,40.177,-111.536
125,f5da453e-5557-456f-96e0-a70d3f3b5cb8,Russel,Tiwain,MountainStar Healthcare,Salt Lake City,UT,84121.0,90074,Mountain Division,Div Controller,Div CFO Mountain,54fb22f7-d172-41c5-97ec-e28b13eb7219,,40.6226,-111.7777
153,3b42ab70-7cd3-4e95-a119-1527b06a1c9f,Bashirian,Trula,St Marks Hospital,Salt Lake City,UT,84124.0,34407,St Marks Hosp,CEO St Marks Hosp,Div President Mountain,c3db512f-6c95-4b50-be33-ad884ed8621e,,40.6772,-111.8133
183,2c3115ef-053a-4312-b78d-20a8cdfb9b9d,Abbott,Jaionna,Timpanogos Regional Medical Ct,Orem,UT,84059.0,81018,Housekeeping,Supv Environmental Svcs,Dir Environmental Svcs,bbe0114d-adec-44e3-81d6-f0b59fccae2e,,40.177,-111.536
184,983306e6-3977-4e29-b810-2090a273bbb5,Vandervort,Hurlan,Lone Peak Hospital,Draper,UT,84020.0,25016,Lone Peak,CFO Lone Peak Hospital,CEO Lone Peak Hospital,77d1575b-6916-4d3c-9962-c6d6b2a00d98,,40.5046,-111.881
232,a55c1a8b-747e-46a1-816b-97837647453a,Goldner,Negar,Lakeview Hospital,Bountiful,UT,84010.0,34411,Lakeview Hospital,CFO Lakeview Hosp,CEO Lakeview Hosp,53bcd147-a223-451d-8c59-176bf4ae0c6f,,40.8775,-111.8727
241,54a265d1-0b12-40fa-885c-6627e9038c49,Borer,Adarion,Lakeview Hospital,Bountiful,UT,84010.0,81020,Housekeeping,Dir Environmental Svcs,Asst Administrator,22ce1999-67db-4d5e-b186-ed6504276b6c,,40.8775,-111.8727
266,3d40ff45-1106-4bfc-826c-1ef30b50dfdd,Sauer,Ethane,Lone Peak Hospital,Kaysville,UT,84037.0,70809,OR Mat Mgmt Lone Peak Hosp,OR Mat Coord,Dir SC Ops C,02d1019d-c316-4e4a-a3ba-d31505e3c275,,41.0375,-111.9326
270,22ce1999-67db-4d5e-b186-ed6504276b6c,Gusikowski,Dijae,Lakeview Hospital,Bountiful,UT,84010.0,90020,Administration,Asst Administrator,CEO,53bcd147-a223-451d-8c59-176bf4ae0c6f,,40.8775,-111.8727
283,8e7be561-8cab-41ea-af27-9ea2abe23b86,Boehm,Amberlynn,Ogden Regional Medical Center,Ogden,UT,84405.0,34415,Ogden Reg Med Ctr,COO Ogden Reg Med Ctr,CEO Ogden Reg Med Ctr,c7919ecb-4449-4d7b-82c8-5ec72a06430d,,41.1739,-111.9809
298,8461e3ad-a0b5-4d68-b3f6-f7c913d1ac84,Leuschke,Lance,Lakeview Hospital,Bountiful,UT,84010.0,66020,Womens Spec  Care,Dir Womens Svcs,CNO,9ce5ca41-5200-4471-8787-edfd70944c05,,40.8775,-111.8727
344,b33fd78f-6ecf-4610-8236-492ada9285a4,Watsica,Bb-ariana,Lakeview Hospital,Bountiful,UT,84010.0,76220,Rehab Services,Dir Rehab/Outpatient Svcs,CEO,53bcd147-a223-451d-8c59-176bf4ae0c6f,,40.8775,-111.8727
353,ccbc294f-2468-4482-95b1-eb0f8de8fb10,Bartoletti,Anjanee,Brigham City Comm Hospital,Brigham City,UT,84302.0,90219,Accounting,Controller,CFO,0b03a05b-afe5-4306-8cd6-211689e553ea,,41.5079,-112.0152
